Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215142,671.764,1,OK,NaN,88.3330479,172.7980348,0.0000000,65.505,9.707,-299.016,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215150,671.789,1,OK,NaN,88.3590387,172.6246295,-0.0000000,64.283,9.960,-298.848,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215158,671.814,1,OK,NaN,88.4163664,172.4760597,0.0000000,63.235,9.631,-298.486,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215166,671.839,1,OK,NaN,88.4676139,172.5778155,0.0000000,62.463,9.493,-298.235,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215174,671.864,1,OK,NaN,88.4915121,172.4608284,-0.0000000,61.215,9.500,-297.734,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215182,671.889,1,OK,NaN,88.5682572,172.2500208,-0.0000000,60.028,9.487,-297.472,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215190,671.914,1,OK,NaN,88.6653818,171.8757814,0.0000000,58.806,8.980,-296.889,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215198,671.939,1,OK,NaN,88.6790156,171.8089277,0.0000000,57.742,9.031,-296.577,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215206,671.964,1,OK,NaN,88.7083395,171.8921201,0.0000000,56.619,8.613,-296.278,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215214,671.989,1,OK,NaN,88.7680743,171.6881014,-0.0000000,55.429,8.536,-295.825,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215222,672.014,1,OK,NaN,88.7648884,171.6156343,0.0000000,53.919,8.193,-295.408,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215230,672.039,1,OK,NaN,88.8471863,171.6350581,0.0000000,52.731,7.948,-295.135,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215238,672.064,1,OK,NaN,88.9540128,171.4913382,-0.0000000,51.462,7.989,-294.797,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215246,672.089,1,OK,NaN,89.0375997,171.3232464,0.0000000,50.029,8.213,-294.579,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215254,672.114,1,OK,NaN,89.1744026,170.6507322,0.0000000,48.415,8.769,-293.890,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215262,672.139,1,OK,NaN,89.2367234,169.7906080,0.0000000,46.975,9.798,-293.271,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215270,672.164,1,OK,NaN,89.2378174,169.6429389,0.0000000,46.010,10.657,-293.007,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215278,672.189,1,OK,NaN,89.3121834,169.8330640,-0.0000000,45.685,11.822,-293.087,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215286,672.214,1,OK,NaN,89.3896017,169.3987595,-0.0000000,44.567,12.651,-292.514,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215294,672.239,1,OK,NaN,89.4248220,168.9143484,0.0000000,43.480,13.890,-292.186,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215302,672.264,1,OK,NaN,89.4651536,168.6845395,0.0000000,42.368,14.161,-291.950,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,215310,672.289,1,OK,NaN,89.5048344,168.9607528,-0.0000000,41.909,14.969,-292.352,0.0000000,0
